site	year	month	day	hour	minute	second	clockm	clocks	files	MB	s	Mb/s
iar	2017	03	06	02	30	23		 1.4	53	3.7	0.6	55.3
ada	2017	03	06	03	30	16		 15	68	5.0	0.4	101
iar	2017	03	06	03	30	18		 1.6	53	3.7	0.8	36.9
ada	2017	03	06	04	30	09		 8.0	68	5.0	0.4	101
iar	2017	03	06	04	30	10		 1.2	53	3.7	0.6	54.9
ada	2017	03	06	05	30	39		 38	68	4.5	1.0	37.3
iar	2017	03	06	05	30	40		 1.2	53	3.7	0.6	51.3
ada	2017	03	06	06	30	10		 8.4	68	4.5	0.4	103
iar	2017	03	06	06	30	11		 1.5	53	3.7	0.9	35.2
ada	2017	03	06	07	30	10		 8.7	68	3.8	0.3	104
iar	2017	03	06	07	30	11		 1.2	53	3.7	0.5	57.2
ada	2017	03	06	08	30	20		 19	68	3.7	0.5	61.0
iar	2017	03	06	08	30	21		 1.4	53	3.7	0.8	40.0
ada	2017	03	06	09	30	09		 7.5	68	3.7	0.3	106
iar	2017	03	06	09	30	10		 1.5	53	3.7	0.8	37.2
ada	2017	03	06	10	30	25		 24	68	3.1	0.4	58.7
iar	2017	03	06	10	30	26		 1.2	53	3.7	0.5	57.2
ada	2017	03	06	11	30	11		 10	68	3.2	0.3	104
iar	2017	03	06	11	30	13		 1.3	53	3.7	0.7	45.2
ada	2017	03	06	12	30	29		 28	68	3.4	1.0	28.7
iar	2017	03	06	12	30	30		 1.2	53	3.7	0.6	53.5
ada	2017	03	06	13	30	10		 8.7	68	3.7	0.3	105
iar	2017	03	06	13	30	11		 1.2	53	3.7	0.6	53.2
ada	2017	03	06	14	30	10		 8.7	68	4.1	0.3	101
iar	2017	03	06	14	30	11		 1.4	53	3.7	0.7	43.3
ada	2017	03	06	15	30	25		 24	68	4.3	1.2	30.0
iar	2017	03	06	15	30	26		 1.2	53	3.7	0.5	57.9
ada	2017	03	06	16	30	11		 9.5	68	3.8	0.6	52.5
iar	2017	03	06	16	30	12		 1.4	53	3.7	0.8	39.5
ada	2017	03	06	17	30	27		 27	68	7.6	0.8	75.5
iar	2017	03	06	17	30	29		 1.4	53	3.7	0.7	41.5
ada	2017	03	06	18	30	11		 11	68	6.8	0.9	64.6
iar	2017	03	06	18	30	13		 1.3	53	3.7	0.7	45.3
ada	2017	03	06	19	30	18		 16	68	6.5	0.5	100
iar	2017	03	06	19	30	19		 1.2	53	3.7	0.6	50.7
ada	2017	03	06	20	30	22		 21	68	6.5	0.8	72.6
iar	2017	03	06	20	30	23		 1.3	53	3.7	0.7	43.1
ada	2017	03	06	21	30	12		 11	68	2.8	0.2	113
iar	2017	03	06	21	30	14		 1.7	53	3.7	1.0	31.4
ada	2017	03	06	22	30	16		 16	68	2.9	0.2	109
iar	2017	03	06	22	30	18		 1.4	53	3.7	0.7	41.4
ada	2017	03	06	23	30	20		 19	68	4.5	1.4	26.9
iar	2017	03	06	23	30	21		 1.3	53	3.7	0.6	53.6
ada	2017	03	07	00	30	19		 18	68	4.3	0.3	104
iar	2017	03	07	00	30	20		 1.2	53	3.7	0.6	53.6
ada	2017	03	07	01	30	24		 22	68	4.3	0.7	55.1
iar	2017	03	07	01	30	25		 1.2	53	3.7	0.6	55.4
ada	2017	03	07	02	30	23		 23	68	4.3	0.3	104
iar	2017	03	07	02	30	25		 1.6	53	3.7	1.0	31.5
ada	2017	03	07	03	30	10		 9.6	68	4.3	0.3	104
iar	2017	03	07	03	30	12		 1.5	53	3.7	0.9	35.6
ada	2017	03	07	04	30	17		 16	68	4.3	0.6	56.6
iar	2017	03	07	04	30	18		 1.3	53	3.7	0.6	48.7
ada	2017	03	07	05	30	17		 16	68	4.3	0.3	105
iar	2017	03	07	05	30	18		 1.2	53	3.7	0.5	60.5
ada	2017	03	07	06	30	25		 25	68	4.2	0.6	61.1
iar	2017	03	07	06	30	27		 1.3	53	3.7	0.7	47.4
ada	2017	03	07	07	30	19		 17	68	3.7	0.3	106
iar	2017	03	07	07	30	20		 1.3	53	3.7	0.6	51.1
ada	2017	03	07	08	30	11		 9.6	68	3.8	0.3	104
iar	2017	03	07	08	30	13		 2.3	53	3.7	0.6	47.5
ada	2017	03	07	09	30	19		 18	68	3.8	0.5	62.8
iar	2017	03	07	09	30	20		 1.4	53	3.7	0.8	38.7
ada	2017	03	07	10	30	20		 19	68	3.4	0.9	31.3
iar	2017	03	07	10	30	21		 1.3	53	3.7	0.6	47.9
ada	2017	03	07	11	30	10		 8.4	68	3.3	0.3	106
iar	2017	03	07	11	30	11		 1.5	53	3.7	0.9	35.6
ada	2017	03	07	12	30	15		 14	68	3.1	0.4	58.4
iar	2017	03	07	12	30	16		 1.2	53	3.7	0.5	60.0
ada	2017	03	07	13	30	20		 18	68	4.1	0.3	106
iar	2017	03	07	13	30	21		 1.3	53	3.7	0.5	57.3
ada	2017	03	07	14	30	19		 18	68	4.1	0.5	65.4
iar	2017	03	07	14	30	21		 1.6	53	3.7	0.9	33.3
ada	2017	03	07	15	30	24		 23	68	4.0	0.8	43.6
iar	2017	03	07	15	30	26		 1.7	53	3.7	1.1	29.2
ada	2017	03	07	16	30	10		 9.9	68	4.7	0.4	103
iar	2017	03	07	16	30	13		 2.1	53	3.7	1.5	20.2
ada	2017	03	07	17	30	16		 16	68	5.1	0.6	68.3
iar	2017	03	07	17	30	19		 2.8	54	3.2	0.5	50.0
ada	2017	03	07	18	30	21		 20	68	6.2	1.0	49.7
iar	2017	03	07	18	30	22		 1.2	54	3.2	0.5	51.8
ada	2017	03	07	19	30	19		 17	68	5.6	0.7	69.5
iar	2017	03	07	19	30	20		 1.5	53	3.7	0.8	36.9
ada	2017	03	07	20	30	14		 13	68	5.6	0.5	101
iar	2017	03	07	20	30	16		 1.5	53	3.7	0.8	36.7
ada	2017	03	07	21	30	21		 20	68	6.1	0.7	69.7
iar	2017	03	07	21	30	22		 1.4	53	3.7	0.7	42.0
ada	2017	03	07	22	30	13		 12	68	4.4	0.4	104
iar	2017	03	07	22	30	15		 1.4	53	3.7	0.8	39.1
ada	2017	03	07	23	30	30		 28	68	3.5	0.8	35.5
iar	2017	03	07	23	30	31		 1.4	53	3.7	0.7	41.8
ada	2017	03	08	00	30	09		 7.7	68	3.5	0.3	106
iar	2017	03	08	00	30	10		 1.3	53	3.7	0.7	43.4
ada	2017	03	08	01	30	16		 15	68	3.4	0.3	106
iar	2017	03	08	01	30	17		 1.3	53	3.7	0.7	47.4
ada	2017	03	08	02	30	20		 19	68	3.4	0.5	59.2
iar	2017	03	08	02	30	21		 1.2	53	3.7	0.5	56.6
ada	2017	03	08	03	30	09		 8.5	68	3.4	0.3	105
iar	2017	03	08	03	30	11		 1.2	53	3.7	0.6	52.8
ada	2017	03	08	04	30	26		 25	68	3.4	0.5	61.6
iar	2017	03	08	04	30	28		 1.6	53	3.7	0.9	34.1
ada	2017	03	08	05	30	09		 8.5	68	3.4	0.3	107
iar	2017	03	08	05	30	11		 1.4	53	3.7	0.8	39.2
ada	2017	03	08	06	30	39		 38	68	3.6	0.6	48.9
iar	2017	03	08	06	30	42		 2.5	53	3.7	1.8	16.7
ada	2017	03	08	07	30	09		 8.2	68	3.2	0.2	108
iar	2017	03	08	07	30	11		 1.2	53	3.7	0.6	52.0
ada	2017	03	08	08	30	10		 9.5	68	3.9	0.3	105
iar	2017	03	08	08	30	12		 1.7	53	3.7	1.1	29.3
ada	2017	03	08	09	30	19		 18	68	3.8	0.3	105
iar	2017	03	08	09	30	21		 1.6	53	3.7	1.0	29.6
ada	2017	03	08	10	30	10		 8.9	68	3.8	0.3	104
iar	2017	03	08	10	30	11		 1.6	53	3.7	1.0	31.0
ada	2017	03	08	11	30	27		 26	68	4.1	0.5	76.5
iar	2017	03	08	11	30	28		 1.6	53	3.7	1.0	32.3
ada	2017	03	08	12	30	10		 9.1	68	4.2	0.3	104
iar	2017	03	08	12	30	11		 1.7	53	3.7	1.1	28.4
ada	2017	03	08	13	30	10		 9.4	68	3.8	0.3	102
iar	2017	03	08	13	30	11		 1.5	53	3.7	0.8	37.1
ada	2017	03	08	14	30	20		 19	68	3.9	0.5	62.6
iar	2017	03	08	14	30	21		 1.3	53	3.7	0.7	43.8
ada	2017	03	08	15	30	13		 12	68	5.4	0.6	80.7
iar	2017	03	08	15	30	15		 1.7	53	3.7	1.1	29.1
ada	2017	03	08	16	30	22		 21	68	5.4	0.7	69.9
iar	2017	03	08	16	30	23		 1.4	53	3.7	0.8	39.9
ada	2017	03	08	17	30	16		 15	68	5.9	0.9	54.6
iar	2017	03	08	17	30	18		 1.9	53	3.7	1.3	23.7
ada	2017	03	08	18	30	10		 8.6	68	5.8	0.5	101
iar	2017	03	08	18	30	11		 1.4	53	3.7	0.8	39.0
ada	2017	03	08	19	30	27		 26	68	5.8	0.7	70.6
iar	2017	03	08	19	30	29		 1.5	53	3.7	0.9	36.1
ada	2017	03	08	20	30	12		 11	68	5.8	0.5	103
iar	2017	03	08	20	30	13		 1.2	53	3.7	0.6	52.4
ada	2017	03	08	21	30	35		 35	68	5.8	0.7	70.0
iar	2017	03	08	21	30	37		 1.2	53	3.7	0.5	61.6
ada	2017	03	08	22	30	11		 9.9	68	3.6	0.4	82.7
iar	2017	03	08	22	30	12		 1.1	53	3.7	0.5	57.7
ada	2017	03	08	23	30	11		 11	68	3.7	0.3	105
iar	2017	03	08	23	30	13		 1.2	53	3.7	0.5	59.1
ada	2017	03	09	00	30	29		 29	68	22	3.1	59.3
iar	2017	03	09	00	30	31		 1.2	53	3.7	0.6	51.1
ada	2017	03	09	01	30	12		 11	68	7.3	0.6	99.3
iar	2017	03	09	01	30	13		 1.4	53	3.7	0.7	41.3
ada	2017	03	09	02	30	12		 12	68	7.4	1.4	44.6
iar	2017	03	09	02	30	14		 1.5	53	3.7	0.8	36.4
ada	2017	03	09	03	30	56		 55	68	7.3	0.8	73.7
iar	2017	03	09	03	30	57		 1.5	53	3.7	0.9	33.8
ada	2017	03	09	04	30	17		 16	68	7.3	0.6	100
iar	2017	03	09	04	30	18		 1.4	53	3.7	0.8	39.5
ada	2017	03	09	05	30	10		 9.5	68	7.3	0.6	99.3
iar	2017	03	09	05	30	12		 1.4	53	3.7	0.7	41.2
ada	2017	03	09	06	30	40		 39	68	7.3	0.8	75.0
iar	2017	03	09	06	30	42		 1.5	53	3.7	0.8	37.4
ada	2017	03	09	07	30	09		 8.1	68	3.1	0.2	108
iar	2017	03	09	07	30	10		 1.2	53	3.7	0.6	53.8
ada	2017	03	09	08	30	08		 7.7	68	3.1	0.2	108
iar	2017	03	09	08	30	10		 1.7	53	3.7	1.1	28.5
ada	2017	03	09	09	30	19		 18	68	3.1	0.5	56.8
iar	2017	03	09	09	30	20		 1.2	53	3.7	0.6	50.5
ada	2017	03	09	10	30	09		 8.1	68	3.0	0.2	108
iar	2017	03	09	10	30	11		 1.5	53	3.7	0.8	38.6
ada	2017	03	09	11	30	22		 21	68	3.0	0.5	52.0
iar	2017	03	09	11	30	24		 1.2	53	3.7	0.6	52.6
ada	2017	03	09	12	30	09		 7.9	68	2.9	0.2	109
iar	2017	03	09	12	30	10		 1.3	53	3.7	0.7	47.4
ada	2017	03	09	13	30	10		 9.3	68	2.6	0.2	110
iar	2017	03	09	13	30	12		 1.8	53	3.7	1.2	26.7
ada	2017	03	09	14	30	19		 19	68	2.6	0.4	54.2
iar	2017	03	09	14	30	20		 1.2	53	3.7	0.5	56.7
ada	2017	03	09	15	30	13		 13	68	2.6	0.2	109
iar	2017	03	09	15	30	15		 1.4	53	3.7	0.8	40.7
ada	2017	03	09	16	30	24		 23	68	2.6	0.4	53.7
iar	2017	03	09	16	30	25		 1.7	53	3.7	1.1	29.1
ada	2017	03	09	17	30	17		 16	68	3.7	0.3	103
iar	2017	03	09	17	30	18		 1.2	53	3.7	0.6	55.8
ada	2017	03	09	18	30	16		 15	68	3.7	0.3	105
iar	2017	03	09	18	30	18		 1.7	53	3.7	1.0	30.3
ada	2017	03	09	19	30	22		 20	68	3.8	0.9	34.4
iar	2017	03	09	19	30	23		 1.3	53	3.7	0.7	43.0
ada	2017	03	09	20	30	21		 20	68	3.1	0.2	107
iar	2017	03	09	20	30	23		 1.3	53	3.7	0.6	52.0
ada	2017	03	09	21	30	25		 25	68	2.9	0.4	55.5
iar	2017	03	09	21	30	27		 1.3	53	3.7	0.7	46.9
ada	2017	03	09	22	30	14		 13	68	3.1	0.2	105
iar	2017	03	09	22	30	15		 1.1	53	3.7	0.5	67.2
ada	2017	03	09	23	30	16		 15	68	3.5	1.6	18.6
iar	2017	03	09	23	30	17		 1.3	53	3.7	0.6	53.8
ada	2017	03	10	00	30	16		 15	68	3.1	0.5	52.4
iar	2017	03	10	00	30	18		 1.6	53	3.7	0.9	32.5
ada	2017	03	10	01	30	21		 20	68	3.0	0.3	72.9
iar	2017	03	10	01	30	22		 1.2	53	3.7	0.6	50.8
ada	2017	03	10	02	30	18		 17	68	3.0	0.8	32.9
iar	2017	03	10	02	30	19		 1.4	53	3.7	0.7	42.0
ada	2017	03	10	03	30	10		 9.2	68	2.8	0.7	35.3
iar	2017	03	10	03	30	11		 1.3	53	3.7	0.6	52.5
ada	2017	03	10	04	30	28		 27	68	2.8	0.5	43.3
iar	2017	03	10	04	30	29		 1.2	53	3.7	0.5	57.4
ada	2017	03	10	05	30	19		 18	68	2.8	0.2	111
iar	2017	03	10	05	30	20		 1.3	53	3.7	0.6	51.9
ada	2017	03	10	06	30	08		 7.5	68	3.3	0.3	108
iar	2017	03	10	06	30	10		 1.2	53	3.7	0.6	54.4
ada	2017	03	10	07	30	18		 18	68	3.3	0.4	61.5
iar	2017	03	10	07	30	20		 1.3	53	3.7	0.7	43.2
ada	2017	03	10	08	30	10		 8.7	68	3.2	0.3	108
iar	2017	03	10	08	30	11		 1.6	53	3.7	1.0	32.2
ada	2017	03	10	09	30	21		 20	68	4.0	0.6	53.8
iar	2017	03	10	09	30	22		 1.2	53	3.7	0.6	50.9
ada	2017	03	10	10	30	10		 9.1	68	4.5	0.4	104
iar	2017	03	10	10	30	12		 1.3	53	3.7	0.7	41.8
ada	2017	03	10	11	30	10		 9.0	68	4.5	0.6	66.0
iar	2017	03	10	11	30	12		 1.7	53	3.7	1.0	31.0
ada	2017	03	10	12	30	20		 19	68	4.0	0.6	53.0
iar	2017	03	10	12	30	21		 1.2	53	3.7	0.6	52.5
ada	2017	03	10	13	30	13		 12	68	4.5	0.5	73.7
iar	2017	03	10	13	30	15		 1.1	53	3.7	0.5	64.0
ada	2017	03	10	14	30	22		 22	68	4.9	1.2	35.3
iar	2017	03	10	14	30	24		 1.2	53	3.7	0.6	52.8
ada	2017	03	10	15	30	09		 8.5	68	3.7	0.3	105
iar	2017	03	10	15	30	11		 1.3	53	3.7	0.7	46.3
ada	2017	03	10	16	30	09		 8.1	68	4.0	0.3	104
iar	2017	03	10	16	30	10		 1.2	53	3.7	0.6	52.6
ada	2017	03	10	17	30	27		 26	68	3.7	1.0	30.7
iar	2017	03	10	17	30	28		 1.2	53	3.7	0.5	58.7
ada	2017	03	10	18	30	13		 12	68	4.3	0.4	101
iar	2017	03	10	18	30	14		 1.3	53	3.7	0.6	49.7
ada	2017	03	10	19	30	11		 10	68	4.2	0.3	104
iar	2017	03	10	19	30	12		 1.4	53	3.7	0.7	41.2
ada	2017	03	10	20	30	25		 24	68	5.8	2.1	23.5
iar	2017	03	10	20	30	26		 1.2	53	3.7	0.6	53.0
ada	2017	03	10	21	30	09		 8.0	68	5.5	0.5	102
iar	2017	03	10	21	30	11		 1.5	53	3.7	0.9	33.6
ada	2017	03	10	22	30	10		 9.3	68	5.5	0.5	101
iar	2017	03	10	22	30	12		 1.3	53	3.7	0.7	45.1
ada	2017	03	10	23	30	53		 51	68	5.2	0.9	48.8
iar	2017	03	10	23	30	54		 1.5	53	3.7	0.8	38.4
ada	2017	03	11	00	30	09		 8.1	68	5.2	0.4	100
iar	2017	03	11	00	30	10		 1.1	53	3.7	0.5	65.3
ada	2017	03	11	01	30	12		 11	68	5.2	0.4	102
iar	2017	03	11	01	30	14		 1.6	53	3.7	0.9	34.5
ada	2017	03	11	02	30	35		 34	68	5.2	0.6	68.9
iar	2017	03	11	02	30	37		 1.6	53	3.7	0.9	35.0
ada	2017	03	11	03	30	09		 7.8	68	5.2	0.4	104
iar	2017	03	11	03	30	10		 1.3	53	3.7	0.6	50.8
ada	2017	03	11	04	30	11		 9.8	68	5.2	0.4	102
iar	2017	03	11	04	30	12		 1.3	53	3.7	0.6	51.8
ada	2017	03	11	05	30	26		 25	68	5.2	0.6	68.9
iar	2017	03	11	05	30	27		 1.2	53	3.7	0.6	52.9
ada	2017	03	11	06	30	10		 8.8	68	5.2	0.4	103
iar	2017	03	11	06	30	11		 1.3	53	3.7	0.6	51.5
ada	2017	03	11	07	30	12		 11	68	5.3	0.8	57.4
iar	2017	03	11	07	30	13		 1.4	53	3.7	0.8	40.5
ada	2017	03	11	08	30	25		 23	68	3.8	0.9	36.1
iar	2017	03	11	08	30	26		 1.4	53	3.7	0.8	39.8
ada	2017	03	11	09	30	21		 21	68	4.3	0.4	96.9
iar	2017	03	11	09	30	23		 1.3	53	3.7	0.6	49.4
ada	2017	03	11	10	30	14		 13	68	4.5	0.4	102
iar	2017	03	11	10	30	16		 1.2	53	3.7	0.5	56.7
ada	2017	03	11	11	30	22		 21	68	4.5	0.7	54.1
iar	2017	03	11	11	30	23		 1.3	53	3.7	0.6	50.3
ada	2017	03	11	12	30	09		 8.3	68	4.5	0.4	103
iar	2017	03	11	12	30	11		 1.5	53	3.7	0.9	35.9
ada	2017	03	11	13	30	27		 26	68	4.5	0.6	65.5
iar	2017	03	11	13	30	28		 1.1	53	3.7	0.5	61.9
ada	2017	03	11	14	30	09		 8.0	68	4.5	0.4	104
iar	2017	03	11	14	30	10		 1.3	53	3.7	0.6	48.3
ada	2017	03	11	15	30	10		 8.7	68	4.5	0.4	102
iar	2017	03	11	15	30	12		 1.7	53	3.7	1.0	30.7
ada	2017	03	11	16	30	23		 22	68	4.5	0.6	61.0
iar	2017	03	11	16	30	24		 1.3	53	3.7	0.7	45.7
ada	2017	03	11	17	30	09		 8.3	68	4.5	0.4	103
iar	2017	03	11	17	30	10		 1.3	53	3.7	0.7	45.5
ada	2017	03	11	18	30	12		 11	68	4.5	0.4	103
iar	2017	03	11	18	30	14		 1.6	53	3.7	0.8	37.9
ada	2017	03	11	19	30	19		 17	68	4.5	0.6	66.1
iar	2017	03	11	19	30	20		 1.1	53	3.7	0.5	63.1
ada	2017	03	11	20	30	14		 13	68	4.5	0.4	104
iar	2017	03	11	20	30	16		 1.5	53	3.7	0.9	33.6
ada	2017	03	11	21	30	11		 10	68	4.5	0.4	103
iar	2017	03	11	21	30	13		 1.7	53	3.7	1.1	27.7
ada	2017	03	11	22	30	22		 21	68	4.5	0.9	41.7
iar	2017	03	11	22	30	23		 1.2	53	3.7	0.6	52.7
ada	2017	03	11	23	30	16		 15	68	4.5	0.4	100
iar	2017	03	11	23	30	18		 1.8	53	3.7	1.2	25.9
ada	2017	03	12	00	30	09		 8.0	68	4.5	0.4	99.7
iar	2017	03	12	00	30	10		 1.3	53	3.7	0.7	46.9
ada	2017	03	12	01	30	20		 19	68	4.5	0.6	63.9
iar	2017	03	12	01	30	21		 1.3	53	3.7	0.7	46.8
ada	2017	03	12	02	30	16		 15	68	4.5	0.4	105
iar	2017	03	12	02	30	18		 1.5	53	3.7	0.9	36.2
ada	2017	03	12	03	30	28		 27	68	4.5	0.6	65.8
iar	2017	03	12	03	30	29		 1.4	53	3.7	0.7	45.0
ada	2017	03	12	04	30	09		 7.8	68	4.5	0.4	104
iar	2017	03	12	04	30	10		 1.3	53	3.7	0.6	51.2
ada	2017	03	12	05	30	23		 22	68	4.5	0.4	103
iar	2017	03	12	05	30	24		 1.3	53	3.7	0.6	52.7
ada	2017	03	12	06	30	14		 14	68	4.4	0.6	66.1
iar	2017	03	12	06	30	16		 1.1	53	3.7	0.5	62.1
ada	2017	03	12	07	30	09		 7.8	68	4.4	0.4	104
iar	2017	03	12	07	30	11		 1.3	53	3.7	0.6	49.4
ada	2017	03	12	08	30	31		 30	68	4.0	0.5	61.5
iar	2017	03	12	08	30	33		 1.1	53	3.7	0.5	61.9
ada	2017	03	12	09	30	09		 8.4	68	3.9	0.4	85.8
iar	2017	03	12	09	30	12		 2.3	53	3.7	1.6	18.8
ada	2017	03	12	10	30	17		 15	68	3.9	0.3	105
iar	2017	03	12	10	30	18		 1.1	53	3.7	0.5	64.8
ada	2017	03	12	11	30	19		 19	68	3.9	0.5	62.7
iar	2017	03	12	11	30	21		 1.6	53	3.7	1.0	30.9
ada	2017	03	12	12	30	09		 8.2	68	3.9	0.3	104
iar	2017	03	12	12	30	11		 1.7	53	3.7	1.0	31.9
ada	2017	03	12	13	30	24		 24	68	3.9	0.5	63.7
iar	2017	03	12	13	30	26		 1.6	53	3.7	0.9	35.8
ada	2017	03	12	14	30	11		 10	68	3.9	0.3	105
iar	2017	03	12	14	30	12		 1.3	53	3.7	0.6	55.1
ada	2017	03	12	15	30	10		 8.8	68	4.0	0.5	60.8
iar	2017	03	12	15	30	11		 1.5	53	3.7	0.8	36.9
ada	2017	03	12	16	30	25		 24	68	3.9	0.5	65.5
iar	2017	03	12	16	30	26		 1.2	53	3.7	0.6	50.9
ada	2017	03	12	17	30	12		 11	68	3.9	0.3	98.5
iar	2017	03	12	17	30	13		 1.5	53	3.7	0.8	36.6
ada	2017	03	12	18	30	10		 8.9	68	3.9	0.3	102
iar	2017	03	12	18	30	11		 1.3	53	3.7	0.6	47.8
ada	2017	03	12	19	30	22		 20	68	3.9	0.6	59.3
iar	2017	03	12	19	30	23		 1.5	53	3.7	0.7	43.0
ada	2017	03	12	20	30	12		 11	68	3.9	0.3	103
iar	2017	03	12	20	30	13		 1.4	53	3.7	0.8	39.9
ada	2017	03	12	21	30	29		 28	68	3.9	0.5	62.7
iar	2017	03	12	21	30	32		 2.5	53	3.7	1.8	17.3
ada	2017	03	12	22	30	09		 8.1	68	3.9	0.3	103
iar	2017	03	12	22	30	11		 1.3	53	3.7	0.7	43.4
ada	2017	03	12	23	30	10		 9.0	68	4.1	0.3	105
iar	2017	03	12	23	30	11		 1.3	53	3.7	0.6	49.6
ada	2017	03	13	00	30	29		 28	68	4.1	0.5	63.1
iar	2017	03	13	00	30	31		 1.2	53	3.7	0.5	61.8
ada	2017	03	13	01	30	10		 8.9	68	4.1	0.3	102
iar	2017	03	13	01	30	11		 1.1	53	3.7	0.5	64.7
ada	2017	03	13	02	30	10		 8.9	68	4.1	0.3	104
iar	2017	03	13	02	30	11		 1.4	53	3.7	0.8	38.9
ada	2017	03	13	03	30	37		 36	68	4.1	0.5	63.3
iar	2017	03	13	03	30	38		 1.4	53	3.7	0.8	41.1
ada	2017	03	13	04	30	09		 7.9	68	4.1	0.3	104
iar	2017	03	13	04	30	10		 1.4	53	3.7	0.7	41.8
ada	2017	03	13	05	30	09		 7.8	68	3.3	0.4	74.5
iar	2017	03	13	05	30	11		 1.5	53	3.7	0.9	34.0
ada	2017	03	13	06	30	28		 27	68	3.2	0.5	56.9
