68	34,4
53	52,6
68	34,8
53	42,2
68	65,3
53	47,8
68	103
53	45,0
68	66,7
53	33,8
68	101
53	49,7
68	65,4
53	28,5
68	105
53	54,7
68	67,7
53	58,9
68	102
53	45,9
68	102
53	29,4
68	66,8
53	49,1
68	106
53	29,4
68	106
53	24,7
68	36,4
53	43,1
68	106
53	37,4
68	101
53	48,3
68	65,1
53	42,8
68	104
53	53,3
68	68,7
53	46,1
68	98,3
53	51,2
68	102
53	43,0
68	67,5
53	44,8
68	102
53	50,3
68	64,4
53	33,1
68	101
53	68,2
68	102
53	35,3
68	67,2
53	42,5
68	101
53	34,1
68	101
53	44,5
68	67,0
53	41,0
68	104
53	51,4
68	102
53	67,2
68	66,6
53	55,3
68	101
53	36,9
68	101
53	54,9
68	37,3
53	51,3
68	103
53	35,2
68	104
53	57,2
68	61,0
53	40,0
68	106
53	37,2
68	58,7
53	57,2
68	104
53	45,2
68	28,7
53	53,5
68	105
53	53,2
68	101
53	43,3
68	30,0
53	57,9
68	52,5
53	39,5
68	75,5
53	41,5
68	64,6
53	45,3
68	100
53	50,7
68	72,6
53	43,1
68	113
53	31,4
68	109
53	41,4
68	26,9
53	53,6
68	104
53	53,6
68	55,1
53	55,4
68	104
53	31,5
68	104
53	35,6
68	56,6
53	48,7
68	105
53	60,5
68	61,1
53	47,4
68	106
53	51,1
68	104
53	47,5
68	62,8
53	38,7
68	31,3
53	47,9
68	106
53	35,6
68	58,4
53	60,0
68	106
53	57,3
68	65,4
53	33,3
68	43,6
53	29,2
68	103
53	20,2
68	68,3
54	50,0
68	49,7
54	51,8
68	69,5
53	36,9
68	101
53	36,7
68	69,7
53	42,0
68	104
53	39,1
68	35,5
53	41,8
68	106
53	43,4
68	106
53	47,4
68	59,2
53	56,6
68	105
53	52,8
68	61,6
53	34,1
68	107
53	39,2
68	48,9
53	16,7
68	108
53	52,0
68	105
53	29,3
68	105
53	29,6
68	104
53	31,0
68	76,5
53	32,3
68	104
53	28,4
68	102
53	37,1
68	62,6
53	43,8
68	80,7
53	29,1
68	69,9
53	39,9
68	54,6
53	23,7
68	101
53	39,0
68	70,6
53	36,1
68	103
53	52,4
68	70,0
53	61,6
68	82,7
53	57,7
68	105
53	59,1
68	59,3
53	51,1
68	99,3
53	41,3
68	44,6
53	36,4
68	73,7
53	33,8
68	100
53	39,5
68	99,3
53	41,2
68	75,0
53	37,4
68	108
53	53,8
68	108
53	28,5
68	56,8
53	50,5
68	108
53	38,6
68	52,0
53	52,6
68	109
53	47,4
68	110
53	26,7
68	54,2
53	56,7
68	109
53	40,7
68	53,7
53	29,1
68	103
53	55,8
68	105
53	30,3
68	34,4
53	43,0
68	107
53	52,0
68	55,5
53	46,9
68	105
53	67,2
68	18,6
53	53,8
68	52,4
53	32,5
68	72,9
53	50,8
68	32,9
53	42,0
68	35,3
53	52,5
68	43,3
53	57,4
68	111
53	51,9
68	108
53	54,4
68	61,5
53	43,2
68	108
53	32,2
68	53,8
53	50,9
68	104
53	41,8
68	66,0
53	31,0
68	53,0
53	52,5
68	73,7
53	64,0
68	35,3
53	52,8
68	105
53	46,3
68	104
53	52,6
68	30,7
53	58,7
68	101
53	49,7
68	104
53	41,2
68	23,5
53	53,0
68	102
53	33,6
68	101
53	45,1
68	48,8
53	38,4
68	100
53	65,3
68	102
53	34,5
68	68,9
53	35,0
68	104
53	50,8
68	102
53	51,8
68	68,9
53	52,9
68	103
53	51,5
68	57,4
53	40,5
68	36,1
53	39,8
68	96,9
53	49,4
68	102
53	56,7
68	54,1
53	50,3
68	103
53	35,9
68	65,5
53	61,9
68	104
53	48,3
68	102
53	30,7
68	61,0
53	45,7
68	103
53	45,5
68	103
53	37,9
68	66,1
53	63,1
68	104
53	33,6
68	103
53	27,7
68	41,7
53	52,7
68	100
53	25,9
68	99,7
53	46,9
68	63,9
53	46,8
68	105
53	36,2
68	65,8
53	45,0
68	104
53	51,2
68	103
53	52,7
68	66,1
53	62,1
68	104
53	49,4
68	61,5
53	61,9
68	85,8
53	18,8
68	105
53	64,8
68	62,7
53	30,9
68	104
53	31,9
68	63,7
53	35,8
68	105
53	55,1
68	60,8
53	36,9
68	65,5
53	50,9
68	98,5
53	36,6
68	102
53	47,8
68	59,3
53	43,0
68	103
53	39,9
68	62,7
53	17,3
68	103
53	43,4
68	105
53	49,6
68	63,1
53	61,8
68	102
53	64,7
68	104
53	38,9
68	63,3
53	41,1
68	104
53	41,8
68	74,5
53	34,0
68	56,9
53	47,4
68	107
53	46,5
68	106
53	54,1
68	62,6
53	30,1
68	105
54	40,1
68	51,1
55	30,1
68	104
55	52,1
68	31,0
55	56,5
68	52,7
55	43,8
68	104
55	41,0
68	57,3
55	46,6
68	42,2
55	31,6
68	50,5
55	31,8
68	105
55	34,2
67	31,7
55	55,6
66	107
55	37,6
66	54,0
