
	adafruit	2017-03-06 04:30:09		 8.0	68	5.0	M		0.4	101	M	iar	2017-03-06 04:30:10		 1.2	53	3.7	M		0.6	54.9	M
	adafruit	2017-03-06 05:30:39		 38	68	4.5	M		1.0	37.3	M	iar	2017-03-06 05:30:40		 1.2	53	3.7	M		0.6	51.3	M
	adafruit	2017-03-06 06:30:10		 8.4	68	4.5	M		0.4	103	M	iar	2017-03-06 06:30:11		 1.5	53	3.7	M		0.9	35.2	M
	adafruit	2017-03-06 07:30:10		 8.7	68	3.8	M		0.3	104	M	iar	2017-03-06 07:30:11		 1.2	53	3.7	M		0.5	57.2	M
	adafruit	2017-03-06 08:30:20		 19	68	3.7	M		0.5	61.0	M	iar	2017-03-06 08:30:21		 1.4	53	3.7	M		0.8	40.0	M
	adafruit	2017-03-06 09:30:09		 7.5	68	3.7	M		0.3	106	M	iar	2017-03-06 09:30:10		 1.5	53	3.7	M		0.8	37.2	M
	adafruit	2017-03-06 10:30:25		 24	68	3.1	M		0.4	58.7	M	iar	2017-03-06 10:30:26		 1.2	53	3.7	M		0.5	57.2	M
	adafruit	2017-03-06 11:30:11		 10	68	3.2	M		0.3	104	M	iar	2017-03-06 11:30:13		 1.3	53	3.7	M		0.7	45.2	M
	adafruit	2017-03-06 12:30:29		 28	68	3.4	M		1.0	28.7	M	iar	2017-03-06 12:30:30		 1.2	53	3.7	M		0.6	53.5	M
	adafruit	2017-03-06 13:30:10		 8.7	68	3.7	M		0.3	105	M	iar	2017-03-06 13:30:11		 1.2	53	3.7	M		0.6	53.2	M
	adafruit	2017-03-06 14:30:10		 8.7	68	4.1	M		0.3	101	M	iar	2017-03-06 14:30:11		 1.4	53	3.7	M		0.7	43.3	M
	adafruit	2017-03-06 15:30:25		 24	68	4.3	M		1.2	30.0	M	iar	2017-03-06 15:30:26		 1.2	53	3.7	M		0.5	57.9	M
	adafruit	2017-03-06 16:30:11		 9.5	68	3.8	M		0.6	52.5	M	iar	2017-03-06 16:30:12		 1.4	53	3.7	M		0.8	39.5	M
	adafruit	2017-03-06 17:30:27		 27	68	7.6	M		0.8	75.5	M	iar	2017-03-06 17:30:29		 1.4	53	3.7	M		0.7	41.5	M
	adafruit	2017-03-06 18:30:11		 11	68	6.8	M		0.9	64.6	M	iar	2017-03-06 18:30:13		 1.3	53	3.7	M		0.7	45.3	M
	adafruit	2017-03-06 19:30:18		 16	68	6.5	M		0.5	100	M	iar	2017-03-06 19:30:19		 1.2	53	3.7	M		0.6	50.7	M
	adafruit	2017-03-06 20:30:22		 21	68	6.5	M		0.8	72.6	M	iar	2017-03-06 20:30:23		 1.3	53	3.7	M		0.7	43.1	M
	adafruit	2017-03-06 21:30:12		 11	68	2.8	M		0.2	113	M	iar	2017-03-06 21:30:14		 1.7	53	3.7	M		1.0	31.4	M
	adafruit	2017-03-06 22:30:16		 16	68	2.9	M		0.2	109	M	iar	2017-03-06 22:30:18		 1.4	53	3.7	M		0.7	41.4	M
